movement_id,item_id,item_name,sku,movement_datetime,from_location_id,from_location_name,to_location_id,to_location_name,quantity_moved,unit_of_measure,trigger_type,trigger_details,performed_by,inventory_level_before,inventory_level_after,movement_notes
MV0011,IT1011,Handcrafted Soap Bars,SOAP-HCFT-011,2024-01-25T15:36:18,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,200,bars,restock,Restock request,emp_1011,1200,400,Soap bars for new season
MV0012,IT1012,Reusable Water Bottle,BOT-RSB-012,2024-01-28T08:14:49,LOC-003-O,Outlet Store West,LOC-007-RP,Returns Processing,1,bottle,loss,Customer return,emp_1012,15,0,Returned for leakage
MV0013,IT1001,UltraSoft Bath Towels,TWL-ULTRA-001,2024-01-30T13:27:32,LOC-002-B,Retail Store Downtown,LOC-003-O,Outlet Store West,25,pieces,transfer,Outlet redistribution,emp_1013,3200,50,Redistribution for new collection
MV0014,IT1013,Scented Wax Melts,WMELT-SC-013,2024-02-02T10:03:07,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,500,packs,restock,Restock request,emp_1014,3000,700,Inventory boost for Valentine's promotion
MV0015,IT1014,Spa Gift Set,SPA-GIFT-014,2024-02-04T13:55:36,LOC-002-B,Retail Store Downtown,LOC-007-RP,Returns Processing,1,box,loss,Damaged gift set,emp_1015,8,0,Spa set written off
MV0016,IT1015,All-Natural Face Mask,MASK-NAT-015,2024-02-07T16:49:20,LOC-004-P,Partner Store East,LOC-002-B,Retail Store Downtown,2,units,order_fulfillment,Order #ORD-2024-026,emp_1016,21,2,Online order for Downtown pickup
MV0017,IT1016,Herbal Tea Sampler,TEA-HERB-016,2024-02-09T11:28:02,LOC-001-W,Central Warehouse,LOC-004-P,Partner Store East,700,packs,restock,Restock request,emp_1017,3200,1000,Restocking for spring teas
MV0018,IT1017,Microfiber Cleaning Cloth,CLTH-MF-017,2024-02-11T14:17:29,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,50,pieces,order_fulfillment,Order #ORD-2024-041,emp_1018,400,60,Outlet order for cleaning supplies
MV0019,IT1018,Aromatherapy Oil Set,OIL-AROM-018,2024-02-14T10:05:49,LOC-002-B,Retail Store Downtown,LOC-003-O,Outlet Store West,12,packs,transfer,Outlet inventory balance,emp_1019,150,36,Transfer to support spring events
MV0020,IT1019,Bamboo Toothbrush,TB-BAMBOO-019,2024-02-17T09:53:32,LOC-001-W,Central Warehouse,LOC-005-R,Retail Store Riverside,1500,pieces,restock,Restock Q1,emp_1020,7000,2200,Bulk restock for eco campaign
MV0021,IT1020,Spa Robe,ROBE-SPA-020,2024-02-19T14:11:08,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,100,pieces,order_fulfillment,Order #ORD-2024-059,emp_1021,500,100,Special order for spa event
MV0022,IT1011,Handcrafted Soap Bars,SOAP-HCFT-011,2024-02-22T09:41:16,LOC-002-B,Retail Store Downtown,LOC-007-RP,Returns Processing,1,bars,loss,Damaged during audit,emp_1011,400,0,Audit write-off soap bar
MV0023,IT1021,Silk Pillowcase,,2024-02-23T13:32:40,LOC-003-O,Outlet Store West,LOC-002-B,Retail Store Downtown,7,pieces,transfer,Inventory shift,emp_1022,40,17,SKU not assigned; pillowcase transfer
MV0024,IT1022,Tea Infuser,INFUSER-T-022,2024-02-25T10:18:56,LOC-005-R,Retail Store Riverside,LOC-004-P,Partner Store East,30,units,transfer,Partner store transfer,emp_1023,110,40,Tea infuser transfer for new launch
MV0025,IT1023,Lavender Sachet Pack,SACHET-LAV-023,2024-02-27T12:21:17,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,25,packs,order_fulfillment,Order #ORD-2024-081,emp_1024,400,75,Lavender sachets for gift baskets
MV0026,IT1018,Aromatherapy Oil Set,OIL-AROM-018,2024-02-28T17:06:33,LOC-003-O,Outlet Store West,LOC-004-P,Partner Store East,20,packs,audit,,sys_bot_01,36,56,Automated audit adjustment increased inventory
MV0027,IT1024,Face Towel,TWL-FACE-024,2024-03-02T12:23:55,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,800,pieces,restock,Restock request,emp_1025,6000,1800,Face towel restock for spring
MV0028,IT1025,Soy Wax Candle,CND-SOY-025,2024-03-05T13:11:49,LOC-005-R,Retail Store Riverside,LOC-007-RP,Returns Processing,1,can,loss,Damaged candle,emp_1026,30,0,Soy candle written off
MV0029,IT1026,Bamboo Bath Mat,BATHMAT-BMB-026,2024-03-07T16:14:23,LOC-001-W,Central Warehouse,LOC-004-P,Partner Store East,45,pieces,transfer,Partner store restock,emp_1027,300,55,Bath mat restock for new spa
MV0030,IT1027,Herbal Shampoo,SHAM-HERB-027,2024-03-10T09:09:09,LOC-004-P,Partner Store East,LOC-002-B,Retail Store Downtown,12,bottles,order_fulfillment,,emp_1028,60,12,Order fulfillment for Downtown location
MV0031,IT1028,Gift Box Set,GBX-SET-028,2024-03-13T14:57:32,LOC-001-W,Central Warehouse,LOC-005-R,Retail Store Riverside,250,boxes,restock,Restock for gift box sales,emp_1029,1500,400,Restocking for spring gift campaign
MV0032,IT1029,Travel-size Lotion,LOTN-TRVL-029,2024-03-15T12:08:12,LOC-005-R,Retail Store Riverside,LOC-003-O,Outlet Store West,8,jars,transfer,Outlet restock,emp_1030,40,8,Travel lotion for seasonal display
MV0033,IT1030,Organic Bath Salts,BATHSALT-ORG-030,2024-03-17T18:44:28,LOC-001-W,Central Warehouse,LOC-004-P,Partner Store East,3500,packs,restock,Bulk restock for spring sale,emp_1031,11500,3500,Bulk bath salts order for sale
MV0034,IT1031,Spa Slippers,,2024-03-20T11:39:48,LOC-003-O,Outlet Store West,LOC-005-R,Retail Store Riverside,15,pairs,transfer,Inventory adjustment,emp_1032,30,15,SKU not assigned; new slippers
MV0035,IT1032,Sample Spa Kit,SPA-KIT-032,2024-03-22T08:18:50,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,5,kits,other,Sample kit distribution,emp_1033,50,15,Sample kits for new product launch
MV0036,IT1033,Mini Bath Bomb,BTHBOMB-MN-033,2024-03-25T10:22:41,LOC-005-R,Retail Store Riverside,LOC-002-B,Retail Store Downtown,25,pieces,transfer,,emp_1034,100,25,Mini bath bombs for downtown display
MV0037,IT1034,Glass Water Pitcher,PITCHER-GL-034,2024-03-27T16:30:29,LOC-004-P,Partner Store East,LOC-007-RP,Returns Processing,1,pitcher,loss,Broken during handling,emp_1035,6,0,Glass pitcher written off
MV0038,IT1035,Essential Oil Diffuser,DIFF-ESS-035,2024-03-31T09:41:18,LOC-001-W,Central Warehouse,LOC-005-R,Retail Store Riverside,40,units,order_fulfillment,Order #ORD-2024-141,emp_1036,300,40,Essential oil diffusers for Riverside
MV0039,IT1015,All-Natural Face Mask,MASK-NAT-015,2024-04-02T13:17:28,LOC-002-B,Retail Store Downtown,LOC-005-R,Retail Store Riverside,3,units,transfer,Inventory shift,emp_1016,2,1,Face mask transfer for urgent restock
MV0040,IT1036,Rose Scented Soap,SOAP-ROSE-036,2024-04-05T14:09:54,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,120,bars,restock,Restock request,emp_1037,700,220,Rose soap for spring sale
MV0041,IT1037,Spa Headband,,2024-04-07T08:15:36,LOC-003-O,Outlet Store West,LOC-004-P,Partner Store East,9,pieces,transfer,,,20,11,SKU not assigned; headband transfer
MV0042,IT1038,Bamboo Toothbrush,TB-BAMBOO-019,2024-04-09T15:22:16,LOC-005-R,Retail Store Riverside,LOC-007-RP,Returns Processing,1,pieces,loss,Damaged toothbrush return,emp_1020,42,0,Bamboo toothbrush written off
MV0043,IT1039,Mini Travel Kit,KIT-TRVL-039,2024-04-11T10:48:26,LOC-001-W,Central Warehouse,LOC-004-P,Partner Store East,60,kits,restock,Restock for travel season,emp_1040,800,160,Travel kit restock for summer
MV0044,IT1040,Spa Headband,HD-SPA-040,2024-04-12T12:03:17,LOC-004-P,Partner Store East,LOC-002-B,Retail Store Downtown,5,pieces,other,Special event,emp_1041,25,5,Headbands for in-store demo
MV0045,IT1041,Scented Candle Set,CND-SET-041,2024-04-14T17:54:58,LOC-001-W,Central Warehouse,LOC-005-R,Retail Store Riverside,300,packs,restock,Restock for candle sale,emp_1042,5000,800,Scented candles for spring
MV0046,IT1042,Hand Lotion,LOTN-HAND-042,2024-04-16T09:22:09,LOC-005-R,Retail Store Riverside,LOC-003-O,Outlet Store West,18,jars,transfer,Outlet restock,emp_1043,80,18,Hand lotion for outlet stocks
MV0047,IT1043,Face Mask Sample Pack,MASK-SP-043,2024-04-18T15:07:31,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,10,packs,audit,Audit #AUD-2024-03,emp_1044,50,60,Audit adjustment increase face mask
MV0048,IT1044,Herbal Tea Sampler,TEA-HERB-016,2024-04-19T11:26:18,LOC-004-P,Partner Store East,LOC-002-B,Retail Store Downtown,15,packs,order_fulfillment,,emp_1045,1000,15,Order fulfillment for tea sampler
MV0049,IT1045,Luxury Bathrobe,ROBE-LUX-045,2024-04-21T10:37:59,LOC-001-W,Central Warehouse,LOC-005-R,Retail Store Riverside,2000,pieces,restock,Bulk restock for May,emp_1046,9000,3200,Bulk bathrobe restock for spring
MV0050,IT1046,Handcrafted Soap Bars,SOAP-HCFT-011,2024-04-23T13:41:34,LOC-003-O,Outlet Store West,LOC-005-R,Retail Store Riverside,5,bars,transfer,Outlet transfer,emp_1047,60,5,Soap bar transfer outlet to Riverside
MV0051,IT1021,Premium Laundry Detergent,DT-PL-4021,2023-09-01T08:13:24,LOC-001-W,Warehouse North,LOC-002-B,Retail Store Downtown,1200,bottles,restock,Restock request Q3-2023,emp_1021,3800,2600,Restocking for back-to-school promotion.
MV0052,IT1048,Ceramic Flower Vase,VA-CR-1048,2023-09-01T09:22:31,LOC-005-R,Retail Store East,LOC-008-X,Returns Processing,1,vase,loss,Damaged during shelf stocking,emp_1048,10,0,Item written off due to breakage.
MV0053,IT1062,Organic Soap Bar,SB-OG-1062,2023-09-01T10:45:15,LOC-003-W,Warehouse South,LOC-006-O,Outlet Store Central,800,bars,restock,Restock request autumn,emp_1062,2400,1600,Autumn stock replenishment.
MV0054,IT1012,Stainless Steel Water Bottle,WB-ST-1012,2023-09-02T13:02:44,LOC-001-W,Warehouse North,LOC-004-P,Retail Store West,47,bottles,order_fulfillment,Order #4421,emp_1012,220,173,Customer order for new school term.
MV0055,IT1055,Packaged Almonds 200g,AL-PK-1055,2023-09-02T14:17:03,LOC-003-W,Warehouse South,LOC-005-R,Retail Store East,200,packs,transfer,Stock shuffle Q3,emp_1055,900,700,Balancing inventory for weekly sale.
MV0056,IT1087,Freshly Scented Candles,CA-FR-1087,2023-09-02T16:08:52,LOC-004-P,Retail Store West,LOC-008-X,Returns Processing,1,box,loss,Customer return - defective wick,emp_1087,6,0,Defective item removed from stock.
MV0057,IT1078,Premium Hand Cream,HC-PR-1078,2023-09-03T11:33:40,LOC-001-W,Warehouse North,LOC-002-B,Retail Store Downtown,650,tubes,restock,Restock request September,emp_1078,1800,1150,Preparing for fall season rush.
MV0058,IT1096,Clear Glass Jar,GJ-CL-1096,2023-09-03T14:01:29,LOC-003-W,Warehouse South,LOC-006-O,Outlet Store Central,35,jars,order_fulfillment,Order #4458,emp_1096,50,15,Small batch for custom packaging.
MV0059,IT1102,Deluxe Pillow Set,,2023-09-03T15:21:16,LOC-001-W,Warehouse North,LOC-004-P,Retail Store West,1,units,order_fulfillment,Order #4501,emp_1102,8,7,SKU not assigned; single unit for urgent order.
MV0060,IT1027,Natural Shampoo Bottle,SH-NT-1027,2023-09-04T09:28:38,LOC-003-W,Warehouse South,LOC-002-B,Retail Store Downtown,1200,bottles,restock,Restock request Q3-2023,emp_1027,3300,2100,Large shipment for new product launch.
MV0061,IT1032,Cotton Bath Towel,BT-CT-1032,2023-09-04T11:12:19,LOC-001-W,Warehouse North,LOC-005-R,Retail Store East,40,pieces,order_fulfillment,Order #4532,emp_1032,140,100,Order for local hotel supply.
MV0062,IT1041,Scented Soy Candle,CA-SO-1041,2023-09-04T12:18:42,LOC-004-P,Retail Store West,LOC-008-X,Returns Processing,1,box,loss,Damaged on display,emp_1041,4,0,"Broken glass, item removed."
MV0063,IT1113,Eco Dishwashing Liquid,DL-EC-1113,2023-09-04T13:51:07,LOC-001-W,Warehouse North,LOC-006-O,Outlet Store Central,350,bottles,restock,Restock request September,sys_bot_01,950,600,Automated restocking for outlet.
MV0064,IT1029,Soft Facial Tissue,FT-SF-1029,2023-09-05T08:13:37,LOC-003-W,Warehouse South,LOC-002-B,Retail Store Downtown,2000,boxes,restock,,emp_1029,4300,2300,Bulk order for seasonal allergy stock.
MV0065,IT1107,Luxury Bath Salts,BS-LX-1107,2023-09-05T09:33:54,LOC-003-W,Warehouse South,LOC-004-P,Retail Store West,22,packs,order_fulfillment,Order #4556,emp_1107,120,98,Order for spa gift set.
MV0066,IT1130,Reusable Shopping Bag,SB-RU-1130,2023-09-05T11:00:22,LOC-005-R,Retail Store East,LOC-008-X,Returns Processing,1,pieces,loss,Customer damaged at checkout,emp_1130,17,0,"Bag torn, written off."
MV0067,IT1144,Essential Oil Diffuser,OD-ES-1144,2023-09-05T13:25:59,LOC-001-W,Warehouse North,LOC-006-O,Outlet Store Central,45,units,transfer,Stock transfer,emp_1144,170,125,Balancing stock for holiday event.
MV0068,IT1151,Glass Storage Container,,2023-09-05T15:17:48,LOC-003-W,Warehouse South,LOC-002-B,Retail Store Downtown,1,pieces,order_fulfillment,Order #4580,emp_1151,6,5,SKU not assigned; urgent customer order.
MV0069,IT1162,Cotton Kitchen Towel,KT-CT-1162,2023-09-06T10:32:24,LOC-001-W,Warehouse North,LOC-005-R,Retail Store East,63,pieces,transfer,,emp_1162,300,237,Stock shuffle for promotional event.
MV0070,IT1174,Mini Soy Candle,CA-MI-1174,2023-09-06T15:11:37,LOC-003-W,Warehouse South,LOC-006-O,Outlet Store Central,210,pieces,restock,Restock request September,emp_1174,740,530,Outlet store fall event restocking.
MV0071,IT1185,Classic Bath Mat,BM-CL-1185,2023-09-07T10:54:06,LOC-001-W,Warehouse North,LOC-004-P,Retail Store West,29,units,order_fulfillment,,emp_1185,60,31,Order for local apartment supply.
MV0072,IT1196,Scented Room Spray,RS-SC-1196,2023-09-07T13:46:39,LOC-003-W,Warehouse South,LOC-002-B,Retail Store Downtown,785,bottles,restock,Restock request Q3-2023,sys_bot_01,2600,1815,Automated restocking for new fragrance.
MV0073,IT1208,Herbal Shampoo Bottle,SH-HB-1208,2023-09-07T15:28:59,LOC-001-W,Warehouse North,LOC-006-O,Outlet Store Central,1100,bottles,restock,,emp_1208,3500,2400,Outlet promotion for fall season.
MV0074,IT1215,Cotton Pillow Case,PC-CT-1215,2023-09-08T10:02:14,LOC-003-W,Warehouse South,LOC-004-P,Retail Store West,1,pieces,order_fulfillment,Order #4607,emp_1215,5,4,Single unit for customer special order.
MV0075,IT1229,Aromatic Hand Soap,HS-AR-1229,2023-09-08T11:45:26,LOC-001-W,Warehouse North,LOC-002-B,Retail Store Downtown,980,bottles,restock,Restock request September,emp_1229,2900,1920,Restock due to increased weekend sales.
MV0076,IT1238,Glass Coffee Mug,CM-GL-1238,2023-09-08T14:02:51,LOC-003-W,Warehouse South,LOC-005-R,Retail Store East,24,pieces,transfer,Stock transfer,emp_1238,95,71,Weekly inventory shuffle.
MV0077,IT1244,Travel Toiletry Kit,,2023-09-09T09:27:36,LOC-001-W,Warehouse North,LOC-006-O,Outlet Store Central,1,packs,order_fulfillment,Order #4621,,2,1,SKU not assigned; automated fulfillment.
MV0078,IT1257,Ceramic Serving Plate,SP-CR-1257,2023-09-09T11:04:42,LOC-003-W,Warehouse South,LOC-004-P,Retail Store West,18,pieces,order_fulfillment,,emp_1257,40,22,Order for new menu launch.
MV0079,IT1263,Natural Body Lotion,BL-NT-1263,2023-09-09T15:17:12,LOC-001-W,Warehouse North,LOC-005-R,Retail Store East,51,bottles,transfer,Stock transfer,emp_1263,120,69,Balancing retail store inventory.
MV0080,IT1277,Premium Kitchen Sponge,KS-PR-1277,2023-09-10T08:38:27,LOC-001-W,Warehouse North,LOC-002-B,Retail Store Downtown,340,pieces,restock,Restock request Q3-2023,emp_1277,880,540,Restocking ahead of holiday sales.
MV0081,IT1282,Antibacterial Soap Bar,SB-AB-1282,2023-09-10T10:03:14,LOC-003-W,Warehouse South,LOC-006-O,Outlet Store Central,430,bars,restock,Restock request September,emp_1282,1500,1070,Outlet store sanitation event.
MV0082,IT1294,Deluxe Face Mask,FM-DX-1294,2023-09-10T13:09:31,LOC-001-W,Warehouse North,LOC-005-R,Retail Store East,6,pieces,order_fulfillment,Order #4650,emp_1294,18,12,Customer bulk order for facial event.
MV0083,IT1308,Organic Facial Cleanser,FC-OG-1308,2023-09-11T09:28:51,LOC-003-W,Warehouse South,LOC-002-B,Retail Store Downtown,950,bottles,restock,Restock request September,sys_bot_01,2100,1150,Automated restocking for organic line.
MV0084,IT1314,Travel Shampoo Mini,SH-MI-1314,2023-09-11T10:51:03,LOC-001-W,Warehouse North,LOC-006-O,Outlet Store Central,72,bottles,transfer,Stock transfer,emp_1314,260,188,Outlet store travel event.
MV0085,IT1326,Cotton Face Cloth,FC-CT-1326,2023-09-11T11:41:46,LOC-003-W,Warehouse South,LOC-004-P,Retail Store West,45,pieces,order_fulfillment,,emp_1326,115,70,Order for local spa.
MV0086,IT1339,Scented Candle Set,CA-ST-1339,2023-09-12T08:17:29,LOC-001-W,Warehouse North,LOC-002-B,Retail Store Downtown,720,boxes,restock,Restock request September,emp_1339,1800,1080,Preparing for seasonal display.
MV0087,IT1344,Herbal Bath Oil,BO-HB-1344,2023-09-12T09:40:15,LOC-003-W,Warehouse South,LOC-005-R,Retail Store East,28,bottles,transfer,Stock transfer,emp_1344,65,37,Weekly stock shuffle.
MV0088,IT1351,Audit Premium Hand Cream,HC-PR-1351,2023-09-12T11:21:29,LOC-006-O,Outlet Store Central,LOC-001-W,Warehouse North,15,tubes,audit,Inventory audit ref #A0912,emp_1351,70,85,Inventory audit adjustment: Positive difference.
MV0089,IT1363,Audit Cotton Bath Towel,BT-CT-1363,2023-09-12T13:34:12,LOC-004-P,Retail Store West,LOC-003-W,Warehouse South,22,pieces,audit,Inventory audit ref #A0912,sys_bot_01,101,123,Automated audit adjustment: towel count increased.
MV0090,IT1374,Audit Glass Storage Container,GC-ST-1374,2023-09-13T09:12:50,LOC-002-B,Retail Store Downtown,LOC-003-W,Warehouse South,8,pieces,audit,,emp_1374,32,40,Audit adjustment: additional inventory found.
MV0091,IT1382,Sample Pack Shampoo,SH-SP-1382,2023-09-13T10:14:23,LOC-001-W,Warehouse North,LOC-006-O,Outlet Store Central,15,packs,other,Sample pack distribution,emp_1382,33,18,Special project: sample pack for fall campaign.
MV0092,IT1391,Prototype Dish Soap,,2023-09-13T11:30:02,LOC-003-W,Warehouse South,LOC-002-B,Retail Store Downtown,1,bottles,other,Prototype shipment,emp_1391,1,0,SKU not assigned; prototype sent for testing.
MV0093,IT1404,Special Event Bath Bomb,BB-SE-1404,2023-09-13T12:44:55,LOC-001-W,Warehouse North,LOC-004-P,Retail Store West,90,pieces,other,Special event,emp_1404,250,160,Special event supply for retail store.
MV0094,IT1415,Inventory Shuffle Soy Candle,CA-SH-1415,2023-09-13T14:07:18,LOC-003-W,Warehouse South,LOC-005-R,Retail Store East,25,pieces,transfer,,emp_1415,77,52,Inventory shuffle for fall display.
MV0095,IT1422,Bulk Inventory Bath Mat,BM-BK-1422,2023-09-14T10:18:37,LOC-001-W,Warehouse North,LOC-002-B,Retail Store Downtown,2200,units,restock,Bulk restock event,emp_1422,6000,3800,Bulk restocking for seasonal surge.
MV0096,IT1436,Edge Case Inventory Glass Plate,GP-EC-1436,2023-09-14T11:25:54,LOC-003-W,Warehouse South,LOC-004-P,Retail Store West,1,pieces,order_fulfillment,Order #4709,emp_1436,3,2,Edge case: single plate for customer event.
MV0097,IT1449,Inventory Audit Room Spray,RS-IA-1449,2023-09-14T13:14:04,LOC-005-R,Retail Store East,LOC-006-O,Outlet Store Central,18,bottles,audit,Inventory audit ref #A0914,emp_1449,90,108,Inventory audit adjustment: overcount found.
MV0098,IT1453,Edge Case Sample Face Mask,,2023-09-15T08:03:26,LOC-001-W,Warehouse North,LOC-005-R,Retail Store East,1,pieces,other,Sample shipment,emp_1453,1,0,SKU not assigned; sample for new display.
MV0099,IT1462,Inventory Shuffle Bath Towel,BT-IS-1462,2023-09-15T10:14:17,LOC-003-W,Warehouse South,LOC-006-O,Outlet Store Central,28,pieces,transfer,Stock transfer,emp_1462,75,47,Inventory shuffle for outlet event.
MV0100,IT1474,Bulk Inventory Shower Gel,SG-BK-1474,2023-09-15T12:18:03,LOC-001-W,Warehouse North,LOC-002-B,Retail Store Downtown,3500,bottles,restock,Bulk restock event,emp_1474,7000,3500,Bulk restocking for holiday season.
MV0300,IT1300,Premium Bath Soap Bar,BAR-PS-1300,2023-09-05T09:17:22,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1200,bars,restock,Restock request #RS-9031,emp_2104,8000,3300,Bulk restock for fall promotions.
MV0301,IT1301,Multipurpose Cleaner Bottle,CLNR-BTL-1301,2023-09-06T14:01:37,LOC-003-W,West Distribution Center,LOC-004-R,Outlet Store Parkside,42,bottles,order_fulfillment,Order #OF-5432,emp_1952,900,42,Urgent customer order for cleaning supplies.
MV0302,IT1302,Ceramic Flower Vase,VASE-CM-1302,2023-09-07T16:42:09,LOC-002-B,Retail Store Downtown,LOC-005-RTN,Returns Processing,1,vase,loss,Breakage - shelf incident,emp_1833,9,0,"Vase damaged, written off inventory."
MV0303,IT1303,Chocolate Snack Pack,CHOC-PK-1303,2023-09-08T11:23:44,LOC-001-W,Central Warehouse,LOC-004-R,Outlet Store Parkside,25,packs,order_fulfillment,Order #OF-5433,emp_2215,300,25,Customer order for snack packs.
MV0304,IT1304,Glass Water Jar,GL-JAR-1304,2023-09-09T10:13:56,LOC-003-W,West Distribution Center,LOC-002-B,Retail Store Downtown,500,jars,restock,Restock request #RS-9032,emp_2345,2300,900,Bulk restock for store opening.
MV0305,IT1305,Laundry Detergent Box,LD-BOX-1305,2023-09-10T15:30:17,LOC-001-W,Central Warehouse,LOC-005-RTN,Returns Processing,1,box,loss,Damaged box during transit,emp_1876,44,0,Inventory written off due to damage.
MV0306,IT1306,Organic Soap Bar,,2023-09-11T12:45:55,LOC-004-R,Outlet Store Parkside,LOC-005-RTN,Returns Processing,1,bar,loss,Expired product removal,emp_2399,2,0,SKU not assigned; item written off (loss).
MV0307,IT1307,Stainless Steel Can,CAN-SS-1307,2023-09-12T08:09:34,LOC-004-R,Outlet Store Parkside,LOC-005-RTN,Returns Processing,1,can,loss,Lost during shelf audit,emp_2158,9,0,Can lost during inventory check.
MV0308,IT1308,Sample Prototype Widget,PRT-WG-1308,2023-09-13T10:27:01,LOC-003-W,West Distribution Center,LOC-006-P,Partner Store Eastside,4,units,other,Prototype delivery,emp_2277,20,4,Special project: prototype widgets.
MV0309,IT1309,Bulk Paper Towels Pack,PT-PK-1309,2023-09-13T13:55:18,LOC-003-W,West Distribution Center,LOC-007-W,Regional Warehouse North,300,packs,transfer,Inter-warehouse transfer,emp_1987,1800,500,Inventory shuffle for regional balance.
MV0310,IT1310,Citrus Hand Soap Bottle,HS-CIT-1310,2023-09-14T11:15:31,LOC-007-W,Regional Warehouse North,LOC-002-B,Retail Store Downtown,900,bottles,restock,Restock request #RS-9033,emp_1999,5000,1200,Restock for hygiene promotion week.
MV0311,IT1311,Small Utility Widget,WGT-UT-1311,2023-09-15T09:28:47,LOC-006-P,Partner Store Eastside,LOC-003-W,West Distribution Center,30,units,transfer,Returned unsold inventory,emp_1920,45,30,Transfer of unsold widgets back to warehouse.
MV0312,IT1312,Holiday Special Soap Bar,HSB-1312,2023-09-16T13:02:12,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1000,bars,restock,Restock request #RS-9034,sys_bot_01,10000,4000,Automated restock for holiday season.
MV0313,IT1313,Premium Glass Jar,GL-JAR-1313,2023-09-17T10:44:35,LOC-001-W,Central Warehouse,LOC-006-P,Partner Store Eastside,25,jars,order_fulfillment,Order #OF-5434,emp_1888,400,25,Customer order for glass jars.
MV0314,IT1314,Deluxe Laundry Detergent,LUX-LD-1314,2023-09-18T16:02:59,LOC-007-W,Regional Warehouse North,LOC-004-R,Outlet Store Parkside,700,boxes,restock,Restock request #RS-9035,emp_2042,5400,800,Large restock for laundry event.
MV0315,IT1315,All-Purpose Cleaner Bottle,APC-BTL-1315,2023-09-19T12:19:21,LOC-004-R,Outlet Store Parkside,LOC-007-W,Regional Warehouse North,15,bottles,transfer,Excess stock transfer,emp_2111,60,15,Transferring excess stock to warehouse.
MV0316,IT1316,Eco Dish Soap Bottle,DS-ECO-1316,2023-09-20T09:05:10,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1100,bottles,restock,Restock request #RS-9036,emp_2187,15000,4200,Bulk restock for sustainable promotion.
